"id","Time","VE","Fb","VT","PO2","PCO2","ScO2"
"IHLTF02",1089.375,37.512146,20.90592384,1.613118529,97.23958588,39.34774399,97.5559786536744
"IHLTF02",1092.245,32.84989166,19.7368412,1.496304631,101.3909912,40.34179688,97.8351805116723
"IHLTF02",1095.285,32.14590073,23.2558136,1.242675543,104.9197006,41.2723999,98.0403800345843
"IHLTF02",1097.865,31.19943428,20.76124573,1.351005197,104.7121201,41.97035217,98.0290359593015
"IHLTF02",1100.755,30.82061005,19.63993454,1.410798192,97.65472412,43.17591095,97.58595428512
"IHLTF02",1103.81,28.39785385,19.80198097,1.289260268,88.31404877,43.70465469,96.7743765593579
"IHLTF02",1106.84,28.82302094,18.92744446,1.369024515,78.14308929,44.02191162,95.4322740023933
"IHLTF02",1110.01,29.72753906,20.30456924,1.316221237,73.36896515,44.14881134,94.5499118597864
"IHLTF02",1112.965,27.61785889,19.10828018,1.299367905,67.97212219,43.85270691,93.268923177296
"IHLTF02",1116.105,34.79996109,20.58319092,1.519951701,63.82070923,43.68350983,92.0114747317334
"IHLTF02",1119.02,36.13453293,20.61855698,1.575534344,60.29201126,43.09130478,90.6999997662122
"IHLTF02",1121.93,38.06702805,22.72727203,1.505793452,59.25415802,42.64715576,90.2634990852199
"IHLTF02",1124.57,40.94371033,21.54398537,1.708538771,55.31031036,42.28760147,88.3526188622879
"IHLTF02",1127.355,40.15232468,21.66065025,1.666490793,53.64974594,42.28760147,87.4103708676203
"IHLTF02",1130.125,52.07838058,23.95209503,1.954689026,51.36647034,42.16070557,85.9574276093448
"IHLTF02",1132.63,NA,NA,NA,49.70590973,42.96440887,84.771886507002
"IHLTF02",1134.155,58.77406693,24.74226761,2.135550976,49.70590973,43.40855789,84.771886507002
"IHLTF02",1136.58,61.07608032,24.84472084,2.210043192,49.29076385,43.30280685,84.4569331227364
"IHLTF02",1138.995,65.58511353,16.7130928,NA,49.08319092,42.62600327,84.2965372918208
"IHLTF02",1142.585,55.25085449,21.97802162,2.260029554,71.70839691,40.97629929,94.1919283310781
"IHLTF02",1145.315,43.51558685,22.77039909,1.718058467,81.87935638,40.53214645,95.9973990558518
"IHLTF02",1147.95,33.51374817,20.79722786,1.448709249,90.80489349,40.27834702,97.0219728303128
"IHLTF02",1150.835,32.91485977,20.94240761,1.412957549,97.23958588,40.82824707,97.5559786536744
"IHLTF02",1153.7,30.97725105,19.20000076,1.450458646,104.2969894,40.97629929,98.0060887673642
"IHLTF02",1156.825,24.74287033,17.21664238,1.2920084,105.1272659,41.33584976,98.0516374583054
"IHLTF02",1160.31,23.56129265,19.8675499,1.066150546,105.1272659,41.1243515,98.0516374583054
"IHLTF02",1163.33,27.72084236,21.62162209,1.152608633,94.33359528,40.91284943,97.3318385630022
"IHLTF02",1166.105,24.34501266,19.01743317,1.150858283,90.18217468,41.2723999,96.9624714816887
"IHLTF02",1169.26,22.13787651,18.75,1.061447263,85.20048523,41.54735184,96.4256301441904
"IHLTF02",1172.46,20.36645126,18.12688828,1.010080099,78.14308929,40.42639923,95.4322740023933
"IHLTF02",1175.77,25.25416756,19.448946,1.167348981,73.36896515,41.06090164,94.5499118597864
"IHLTF02",1178.855,26.41276169,20.97902107,1.131858945,69.63269043,41.82229996,93.7007659633502
"IHLTF02",1181.715,26.04664993,20.44293022,1.145440221,66.72669983,41.99150467,92.9199569399781
"IHLTF02",1184.65,28.54009056,21.93784332,1.169567108,63.19800186,41.92805481,91.7978693817684
"IHLTF02",1187.385,29.10847473,19.83471107,1.31934166,59.87686539,41.56850052,90.5284019698077
"IHLTF02",1190.41,30.13536263,20.33898354,1.332020402,57.17845154,41.69540405,89.3108995517172
"IHLTF02",1193.36,32.57582855,20.79722786,1.408165693,54.27246094,41.69540405,87.77432045939
"IHLTF02",1196.245,35.29747772,20.90592384,1.517881989,52.19675064,41.80115509,86.5082714900598
"IHLTF02",1199.115,39.88702774,20.6896553,1.733173728,50.95133209,42.05495071,85.6718002741609
"IHLTF02",1202.015,37.32105637,20.33898354,1.649636984,61.53743744,41.2723999,91.1918828843957
"IHLTF02",1204.965,40.15931702,21.16402054,1.705893397,69.00997925,40.27834702,93.5431007197623
"IHLTF02",1207.8,30.22251701,20,1.358514667,77.52037048,39.89764786,95.3282183893279
"IHLTF02",1210.8,29.08149529,20.58319092,1.270187259,82.7096405,40.25719833,96.1104599757181
"IHLTF02",1213.715,30.58229256,20.54794502,1.33802855,87.89891052,40.53214645,96.7305240157497
"IHLTF02",1216.635,29.57081223,20.61855698,1.289343715,89.76703644,41.35700226,96.9219383104577
